City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Vila,PT,42.03,-8.16,55.0,94,100,5.01,light rain
275,Tura,IN,25.52,90.22,73.27,86,3,3.51,clear sky
276,Katherine,AU,-14.47,132.27,84.2,58,4,5.82,clear sky
277,Daru,PG,-9.08,143.21,78.6,82,97,10.36,overcast clouds
278,Esperance,AU,-33.87,121.9,59.0,100,90,11.41,overcast clouds
279,Hervey Bay,AU,-25.3,152.85,68.0,77,90,5.82,overcast clouds
280,Innisfail,AU,-17.53,146.03,69.33,88,16,2.51,few clouds
281,Lebyazhye,RU,55.27,66.49,48.99,55,100,9.15,overcast clouds
282,Hirara,JP,24.8,125.28,80.6,81,100,25.1,overcast clouds
283,Ponta Do Sol,PT,32.67,-17.1,73.4,49,20,4.7,few clouds
284,Sinnamary,GF,5.38,-52.95,86.88,60,50,14.38,scattered clouds
285,Bandundu,CD,-3.32,17.37,74.68,93,85,3.62,light rain
286,Weihai,CN,37.5,122.11,61.86,64,100,13.22,overcast clouds
287,Chatham,GB,51.38,0.53,61.0,77,100,1.01,overcast clouds
288,Miri,MY,4.41,114.01,77.0,94,20,2.24,few clouds
289,Chapais,CA,49.78,-74.85,37.4,64,90,8.05,overcast clouds
290,Wangqing,CN,43.32,129.76,44.38,81,68,2.42,broken clouds
291,Taksimo,RU,56.34,114.88,18.1,83,14,3.67,few clouds
292,Kropotkin,RU,45.44,40.58,51.24,62,2,5.14,clear sky
293,Torbay,CA,47.67,-52.73,60.8,63,75,19.46,broken clouds
294,Benguela,AO,-12.58,13.41,75.33,77,67,6.6,broken clouds
295,Soyo,AO,-6.13,12.37,77.47,79,93,7.87,overcast clouds
296,Abeche,TD,13.83,20.83,87.51,13,0,9.1,clear sky
297,Jian,CN,27.12,114.98,59.02,81,43,6.15,light rain
298,Poum,NC,-20.23,164.02,73.92,71,0,6.53,clear sky
299,Srednekolymsk,RU,67.45,153.68,17.58,97,95,3.65,light snow
300,Chokurdakh,RU,70.63,147.92,14.22,97,91,2.06,overcast clouds
301,Lasa,IT,46.62,10.7,48.99,86,40,4.7,scattered clouds
302,Aykhal,RU,66.0,111.5,8.6,92,90,4.47,light shower snow
303,Monrovia,LR,6.3,-10.8,79.39,83,100,7.76,overcast clouds
